Mutation chance(%), Time, Solution Length, Solution Found?
38, 27654, 25, True
39, 39465, 17, True
40, 11396, 36, True
41, 11211, 42, True
42, 11189, 0, False
43, 7400, 30, True
44, 18244, 13, True
45, 19163, 0, False
46, 7086, 0, False
47, 10423, 0, False
48, 13784, 0, False
49, 6915, 30, True
0, 39470, 27, True
1, 206623, 27, True
2, 254480, 0, False
3, 374140, 0, False
4, 219411, 0, False
5, 62134, 25, True
6, 320441, 25, True
7, 89370, 27, True
8, 73780, 23, True
9, 181545, 0, False
10, 35503, 13, True
11, 58273, 13, True
12, 99662, 17, True
13, 98536, 15, True
14, 284243, 17, True
15, 115575, 15, True
16, 61498, 19, True
17, 96977, 17, True
18, 72894, 17, True
19, 91969, 17, True
20, 46863, 66, True
21, 9726, 0, False
22, 58378, 0, False
23, 32759, 15, True
24, 25492, 0, False
25, 38382, 15, True
26, 22112, 0, False
27, 9053, 0, False
28, 8949, 0, False
29, 18177, 0, False
30, 8631, 0, False
31, 28071, 21, True
32, 39670, 0, False
33, 45391, 0, False
34, 25975, 0, False
35, 22071, 0, False
36, 11972, 0, False
37, 16219, 0, False
38, 15805, 0, False
39, 11335, 0, False
40, 11392, 0, False
41, 15429, 44, True
42, 7570, 0, False
43, 29962, 0, False
44, 17520, 0, False
45, 17606, 0, False
46, 14140, 0, False
47, 31595, 0, False
48, 6934, 0, False
49, 16753, 0, False
0, 380168, 0, False
1, 166337, 0, False
2, 276098, 51, True
3, 220292, 0, False
4, 143820, 23, True
5, 188545, 0, False
6, 254751, 0, False
7, 297367, 43, True
8, 269575, 0, False
9, 153970, 0, False
10, 233975, 0, False
11, 204175, 0, False
12, 149268, 0, False
13, 73817, 0, False
14, 140482, 19, True
15, 144437, 0, False
16, 193550, 0, False
17, 217687, 0, False
18, 32557, 0, False
19, 26581, 0, False
20, 26437, 0, False
21, 241144, 0, False
22, 40984, 0, False
23, 37948, 58, True
24, 46275, 0, False
25, 24945, 35, True
26, 31534, 0, False
27, 26873, 0, False
28, 55751, 0, False
29, 17939, 0, False
30, 23392, 0, False
31, 12738, 0, False
32, 17396, 0, False
33, 33347, 0, False
34, 20681, 0, False
35, 52837, 0, False
36, 32930, 0, False
37, 27219, 0, False
38, 24708, 0, False
39, 25116, 0, False
40, 32763, 0, False
41, 11090, 0, False
42, 11002, 0, False
43, 19625, 0, False
44, 10762, 0, False
45, 14426, 0, False
46, 10238, 0, False
47, 18398, 0, False
48, 6816, 0, False
49, 9738, 0, False
0, 215366, 0, False
1, 50752, 19, True
2, 67999, 19, True
3, 62984, 21, True
4, 62311, 17, True
5, 48943, 15, True
6, 48537, 15, True
7, 88611, 15, True
8, 48001, 15, True
9, 87535, 17, True
10, 35414, 15, True
11, 71258, 13, True
12, 71249, 17, True
13, 70494, 15, True
14, 56272, 15, True
15, 68340, 17, True
16, 95025, 17, True
17, 66808, 17, True
18, 124152, 19, True
19, 65368, 17, True
20, 137761, 17, True
21, 117645, 13, True
22, 89173, 13, True
23, 69838, 21, True
24, 18966, 0, False
25, 37031, 19, True
26, 46359, 15, True
27, 29462, 0, False
28, 46566, 17, True
29, 23849, 52, True
30, 27735, 0, False
31, 23185, 13, True
32, 22884, 13, True
33, 17065, 0, False
34, 12235, 0, False
35, 22075, 37, True
36, 26139, 0, False
37, 11752, 0, False
38, 21254, 15, True
39, 7818, 0, False
40, 24231, 19, True
41, 18939, 33, True
42, 20074, 0, False
43, 14791, 0, False
44, 10559, 0, False
45, 14435, 0, False
46, 6980, 0, False
47, 16859, 0, False
48, 13880, 0, False
49, 9931, 0, False
0, 140759, 0, False
1, 85188, 9, True
2, 17239, 11, True
3, 38046, 17, True
4, 16926, 11, True
5, 37217, 13, True
6, 26150, 11, True
7, 26007, 11, True
8, 25639, 11, True
9, 25569, 13, True
10, 35465, 9, True
11, 34930, 9, True
12, 34650, 9, True
13, 34184, 9, True
14, 33834, 9, True
15, 33599, 9, True
16, 33282, 9, True
17, 33194, 11, True
