Mutation chance(%), Time, Solution Length, Solution Found?
4, 44462, 11, True
5, 30225, 11, True
6, 53616, 11, True
7, 19076, 9, True
8, 52354, 9, True
9, 64808, 9, True
10, 29279, 9, True
11, 39307, 11, True
12, 41540, 11, True
13, 50540, 9, True
14, 17854, 9, True
15, 49269, 11, True
16, 37672, 11, True
17, 26949, 9, True
18, 37103, 9, True
19, 58128, 9, True
4, 44297, 7, True
5, 31506, 9, True
6, 30240, 7, True
7, 41110, 7, True
8, 29336, 9, True
9, 28948, 7, True
10, 28624, 7, True
11, 28858, 7, True
12, 28367, 7, True
13, 28204, 9, True
14, 17780, 7, True
15, 27941, 7, True
16, 37462, 7, True
17, 26803, 7, True
18, 26592, 7, True
19, 47208, 7, True
