Mutation chance(%), Time, Solution Length, Solution Found?
4, 36981, 5, True
5, 36497, 5, True
6, 11594, 5, True
7, 23097, 5, True
8, 11342, 5, True
9, 11265, 5, True
10, 22628, 5, True
11, 11006, 5, True
12, 22020, 5, True
13, 21709, 5, True
14, 33353, 5, True
15, 21398, 5, True
16, 21002, 5, True
17, 32165, 5, True
18, 20742, 5, True
19, 20634, 5, True
4, 51765, 9, True
5, 82940, 11, True
6, 65707, 15, True
7, 50269, 15, True
8, 64281, 9, True
9, 49177, 11, True
10, 35167, 13, True
11, 62600, 9, True
12, 62099, 13, True
13, 47377, 9, True
14, 60628, 9, True
15, 46373, 11, True
16, 45548, 9, True
17, 45509, 11, True
18, 59953, 9, True
19, 71639, 9, True
